,NEGATIVE_VALENCE,POSITIVE_VALENCE,COGNITIVE_SYSTEMS,SOCIAL_PROCESSES,AROUSAL_REGULATION,SENSORIMOTOR_SYSTEMS
1,0.757198541,0.193006378,0.146415205,0.273853247,0.514204143,0.970780743
2,0.43107523,0.142984132,0.848823332,0.666762196,0.968423495,0.025506633
3,0.486589625,0.753396677,0.316909303,0.554892259,0.68333596,0.696430781
4,0.473880435,0.374841586,0.135167401,0.219291507,0.646444133,0.398482684
5,0.003619878,0.851294571,0.317645088,0.206031178,0.280735121,0.117110332
6,0.935582606,0.305249758,0.687775536,0.687555015,0.650662527,0.247251085
7,0.170026332,0.414819711,0.935488034,0.560625844,0.131591519,0.850867249
8,0.654173582,0.653845844,0.743163493,0.214429574,0.793759717,0.56146954
9,0.267933146,0.740489825,0.622428633,0.247585411,0.721303065,0.334085552
10,0.190686294,0.405384911,0.991860205,0.789298954,0.29646524,0.528131752
11,0.698934083,0.133700061,0.644378008,0.780575303,0.542365212,0.837978816
12,0.076904957,0.581620416,0.682437025,0.331667223,0.050255918,0.782934543
13,0.853330164,0.258343713,0.436189613,0.921800165,0.972023019,0.648548268
14,0.319101069,0.262233087,0.97742859,0.133242623,0.029221272,0.697810234
15,0.155678586,0.677383611,0.407097609,0.546762422,0.844917269,0.808810906
16,0.702348009,0.441864686,0.263443231,0.315961686,0.931959836,0.310336838
17,0.118510006,0.933253592,0.925113969,0.297771292,0.51601607,0.816982924
18,0.715248409,0.606995033,0.176621781,0.078724813,0.290403288,0.702001519
19,0.668971256,0.931470909,0.57608805,0.757782559,0.937876146,0.283690998
20,0.243506576,0.964217719,0.286533889,0.742901277,0.419424393,0.226932666
21,0.372973279,0.183327819,0.387727055,0.683305914,0.667628001,0.564877549
22,0.338493901,0.718974178,0.106119178,0.176793067,0.811419235,0.861197661
23,0.221296974,0.119690647,0.119303596,0.255169837,0.468652147,0.719598489
24,0.108306991,0.995188052,0.760220119,0.596128809,0.583207437,0.321761553
25,0.319475682,0.137873015,0.288911715,0.768729305,0.046996798,0.900793417
26,0.397479187,0.039663727,0.341508367,0.72913255,0.085656171,0.881168717
27,0.732192206,0.188867596,0.939603787,0.836298839,0.157752737,0.230803083
28,0.604430846,0.887171159,0.286599995,0.890244672,0.633302914,0.14149338
29,0.948516147,0.594985676,0.067381807,0.760419136,0.788238422,0.385513582
30,0.285807907,0.135884908,0.027038481,0.204957312,0.468481495,0.347125839
31,0.933294024,0.427809257,0.708880201,0.364761484,0.138432228,0.776425849
32,0.338466556,0.770611723,0.408861216,0.100494186,0.270522668,0.204065588
33,0.77470181,0.153895854,0.045408435,0.930514809,0.824774342,0.682088524
34,0.897622767,0.697231946,0.181660733,0.307626957,0.740274887,0.242091394
35,0.63271999,0.900904201,0.736730195,0.941309344,0.702529422,0.717791982
36,0.163322375,0.59739043,0.533287928,0.319933342,0.486618803,0.516103438
37,0.822084152,0.820400589,0.52208623,0.5129053,0.920884517,0.799388441
38,0.067832991,0.206830789,0.604516427,0.770596026,0.70553736,0.553127139
39,0.665136305,0.933764931,0.456140661,0.400401802,0.166752246,0.232546859
40,0.214695827,0.32767733,0.942196241,0.763712557,0.990577283,0.397836817
41,0.769934328,0.981538434,0.234848297,0.717556131,0.981582779,0.745128697
42,0.366067143,0.198636447,0.627452936,0.127315026,0.253553409,0.003581658
43,0.15485205,0.837006164,0.479256548,0.023828715,0.452981228,0.868227735
44,0.291368658,0.180300038,0.459534377,0.716665783,0.704693418,0.753948327
45,0.057101408,0.040678588,0.498114621,0.728153886,0.638360519,0.641624549
46,0.544520667,0.236633429,0.158947415,0.170046871,0.284210819,0.511938317
47,0.79306938,0.708932735,0.125823238,0.953789487,0.766517406,0.482833416
48,0.516842278,0.075335508,0.117837802,0.415101073,0.450950972,0.669799945
49,0.69827279,0.70821759,0.32944158,0.739209797,0.962387564,0.650512111
50,0.329932408,0.381466145,0.020220431,0.134335567,0.069427789,0.676183615
51,0.124039405,0.615178477,0.097594076,0.065508113,0.934455415,0.787721939
52,0.263296304,0.483012033,0.348553567,0.009524989,0.131194055,0.440425122
53,0.541934489,0.897677597,0.378052491,0.430914847,0.011736675,0.526106043
54,0.421227199,0.294680465,0.186374546,0.576904403,0.982761074,0.021463986
55,0.016300247,0.64521026,0.349223856,0.313037969,0.402113064,0.881074958
56,0.415181294,0.33298278,0.638330397,0.228956537,0.599354951,0.348952501
57,0.307224916,0.418080663,0.108031171,0.396571134,0.409230709,0.089468274
58,0.232792733,0.553222391,0.686161015,0.213747362,0.229684013,0.783779376
59,0.596914464,0.724543257,0.817704285,0.600829581,0.806621998,0.109039314
60,0.627330416,0.547689082,0.906180252,0.668441843,0.81157037,0.325794532
61,0.521052667,0.584969938,0.589738439,0.561230405,0.797872115,0.984071011
62,0.802499741,0.734674544,0.4687552,0.315518718,0.943395562,0.675864181
63,0.508818245,0.706010773,0.1782728,0.463115555,0.351416805,0.657106865
64,0.868194666,0.0199147,0.965998007,0.871387566,0.961420153,0.760270669
65,0.947908474,0.049763814,0.457765203,0.736983331,0.199354677,0.554622678
66,0.915837023,0.327265259,0.509570734,0.104832749,0.45883452,0.096261968
67,0.722662892,0.73369483,0.316615418,0.829645248,0.051994825,0.355967126
68,0.229855139,0.160986428,0.431493064,0.173052814,0.144716295,0.619101409
69,0.620321807,0.435251541,0.213502177,0.415357017,0.736756323,0.131287468
70,0.852020181,0.375425372,0.952641283,0.213057317,0.725607136,0.855733306
71,0.105663878,0.87920682,0.108478471,0.261317158,0.108974647,0.365186952
72,0.158163994,0.34493249,0.868451223,0.736375254,0.840470678,0.138374794
73,0.798940027,0.056687467,0.104556042,0.976240962,0.314469174,0.694472255
74,0.584254142,0.616793036,0.117013222,0.304285751,0.511955656,0.81533
75,0.179516481,0.746318464,0.36660651,0.086899737,0.042348378,0.237539916
76,0.565702481,0.834578191,0.090688076,0.549927156,0.083497928,0.860813494
77,0.223600208,0.510169439,0.812563147,0.29099507,0.412451452,0.398767563
78,0.918753982,0.471619851,0.030504457,0.072027309,0.475192031,0.372925182
79,0.592429792,0.533315552,0.391445996,0.164018898,0.541468467,0.575202286
80,0.982670449,0.534370893,0.933851653,0.545588672,0.933995722,0.277540704
81,0.135331694,0.155215135,0.321640907,0.613060474,0.487316617,0.347771234
82,0.452373042,0.782663989,0.263428461,0.15915364,0.983574516,0.298787674
83,0.273857083,0.500960934,0.022724978,0.964762351,0.681373003,0.61843661
84,0.180678469,0.724977189,0.190179792,0.655459218,0.321203314,0.147341162
85,0.47384034,0.401915905,0.24488998,0.495788239,0.386166155,0.273174495
86,0.123913164,0.6325977,0.779101882,0.701185477,0.123927671,0.578478979
87,0.947651838,0.511285658,0.463980433,0.808619295,0.668412174,0.192647687
88,0.065312572,0.35798486,0.356688399,0.180235819,0.87930714,0.55327729
89,0.545296607,0.841438476,0.830230278,0.235930443,0.526229617,0.545417686
90,0.649526106,0.947241793,0.854360059,0.473456574,0.408665557,0.545727697
91,0.154428218,0.098696448,0.789428195,0.997954869,0.103397246,0.161765065
92,0.351931568,0.216410311,0.668329236,0.168942846,0.913815586,0.93315865
93,0.690276864,0.878550245,0.76009525,0.983332444,0.976348638,0.334129062
94,0.520676264,0.80678155,0.592866671,0.284543564,0.720564858,0.365074655
95,0.713928387,0.583751525,0.735097651,0.675120819,0.417906898,0.703102968
96,0.124250431,0.812415091,0.570558548,0.922272615,0.342634879,0.293373656
97,0.983357114,0.740423401,0.901325001,0.882898487,0.569924661,0.996756633
98,0.209104811,0.58079614,0.107156356,0.303075257,0.055788316,0.8326058
99,0.017700372,0.645373662,0.545329331,0.609160095,0.828476769,0.35622483
100,0.122631262,0.02045608,0.770366207,0.688331921,0.197388901,0.289991324